YEAR,Round,Group,Location,Date,GameNo,TEAM1,TEAM2,RUNS1,RUNS2,INN,...12,...13,Winner,Loser
2026,0,QB,Tucson,2025-03-02,1,China,Germany,2,12,7,,,Germany,China
2026,0,QB,Tucson,2025-03-02,2,Brazil,Colombia,0,5,,,,Colombia,Brazil
2026,0,QB,Tucson,2025-03-03,3,Brazil,Germany,9,7,,,,Brazil,Germany
2026,0,QB,Tucson,2025-03-03,4,Colombia,China,8,1,,,,Colombia,China
2026,0,QB,Tucson,2025-03-04,5,China,Brazil,2,12,7,,,Brazil,China
2026,0,QB,Tucson,2025-03-04,6,Germany,Colombia,0,10,7,,,Colombia,Germany
2026,0,QB,Tucson,2025-03-06,7,Germany,Brazil,4,6,,,,Brazil,Germany
2026,1,A,San Juan,2026-03-06,1,Cuba,Panama,3,1,,,,Cuba,Panama
2026,1,A,San Juan,2026-03-06,2,Puerto Rico,Colombia,5,0,,,,Puerto Rico,Colombia
2026,1,A,San Juan,2026-03-07,3,Colombia,Canada,2,8,,,,Canada,Colombia
2026,1,A,San Juan,2026-03-07,4,Panama,Puerto Rico,3,4,10,,,Puerto Rico,Panama
2026,1,A,San Juan,2026-03-08,5,Colombia,Cuba,4,7,,,,Cuba,Colombia
2026,1,A,San Juan,2026-03-08,6,Panama,Canada,4,3,,,,Panama,Canada
2026,1,A,San Juan,2026-03-09,7,Colombia,Panama,4,3,,,,Colombia,Panama
2026,1,A,San Juan,2026-03-09,8,Cuba,Puerto Rico,1,4,,,,Puerto Rico,Cuba
2026,1,A,San Juan,2026-03-10,9,Canada,Puerto Rico,3,2,,,,Canada,Puerto Rico
2026,1,A,San Juan,2026-03-11,10,Canada,Cuba,7,2,,,,Canada,Cuba
2026,1,B,Houston,2026-03-06,1,Mexico,Great Britain,8,2,,,,Mexico,Great Britain
2026,1,B,Houston,2026-03-06,2,United States,Brazil,15,5,,,,United States,Brazil
2026,1,B,Houston,2026-03-07,3,Brazil,Italy,0,8,,,,Italy,Brazil
2026,1,B,Houston,2026-03-07,4,Great Britain,United States,1,9,,,,United States,Great Britain
2026,1,B,Houston,2026-03-08,5,Great Britain,Italy,4,7,,,,Italy,Great Britain
2026,1,B,Houston,2026-03-08,6,Brazil,Mexico,0,16,6,,,Mexico,Brazil
2026,1,B,Houston,2026-03-09,7,Brazil,Great Britain,1,8,,,,Great Britain,Brazil
2026,1,B,Houston,2026-03-09,8,Mexico,United States,3,5,,,,United States,Mexico
2026,1,B,Houston,2026-03-10,9,Italy,United States,8,6,,,,Italy,United States
2026,1,B,Houston,2026-03-11,10,Italy,Mexico,9,1,,,,Italy,Mexico
2026,1,C,Tokyo,2026-03-05,1,Chinese Taipei,Australia,0,3,,,,Australia,Chinese Taipei
2026,1,C,Tokyo,2026-03-05,2,Czechia,South Korea,4,11,,,,South Korea,Czechia
2026,1,C,Tokyo,2026-03-06,3,Australia,Czechia,5,1,,,,Australia,Czechia
2026,1,C,Tokyo,2026-03-06,4,Japan,Chinese Taipei,13,0,7,,,Japan,Chinese Taipei
2026,1,C,Tokyo,2026-03-07,5,Chinese Taipei,Czechia,14,0,7,,,Chinese Taipei,Czechia
2026,1,C,Tokyo,2026-03-07,6,South Korea,Japan,6,8,,,,Japan,South Korea
2026,1,C,Tokyo,2026-03-08,7,Chinese Taipei,South Korea,5,4,10,,,Chinese Taipei,South Korea
2026,1,C,Tokyo,2026-03-08,8,Australia,Japan,3,4,,,,Japan,Australia
2026,1,C,Tokyo,2026-03-09,9,South Korea,Australia,7,2,,,,South Korea,Australia
2026,1,C,Tokyo,2026-03-10,10,Czechia,Japan,0,9,,,,Japan,Czechia
2026,1,D,Miami,2026-03-06,1,Netherlands,Venezuela,2,6,,,,Venezuela,Netherlands
2026,1,D,Miami,2026-03-06,2,Nicaragua,Dominican Rep.,3,12,,,,Dominican Rep.,Nicaragua
2026,1,D,Miami,2026-03-07,3,Nicaragua,Netherlands,3,4,,,,Netherlands,Nicaragua
2026,1,D,Miami,2026-03-07,4,Israel,Venezuela,3,11,,,,Venezuela,Israel
2026,1,D,Miami,2026-03-08,5,Netherlands,Dominican Rep.,1,12,7,,,Dominican Rep.,Netherlands
2026,1,D,Miami,2026-03-08,6,Nicaragua,Israel,0,5,,,,Israel,Nicaragua
2026,1,D,Miami,2026-03-09,7,Dominican Rep.,Israel,10,1,,,,Dominican Rep.,Israel
2026,1,D,Miami,2026-03-09,8,Venezuela,Nicaragua,4,0,,,,Venezuela,Nicaragua
2026,1,D,Miami,2026-03-10,9,Israel,Netherlands,6,2,,,,Israel,Netherlands
2026,1,D,Miami,2026-03-11,10,Dominican Rep.,Venezuela,7,5,,,,Dominican Rep.,Venezuela
2026,3,Final,Miami,2026-03-17,7,Venezuela,United States,3,2,,,,Venezuela,United States
2026,3,Quarters,Miami,2026-03-13,1,South Korea,Dominican Rep.,0,10,7,,,Dominican Rep.,South Korea
2026,3,Quarters,Houston,2026-03-13,2,United States,Canada,5,3,,,,United States,Canada
2026,3,Quarters,Houston,2026-03-14,3,Puerto Rico,Italy,6,8,,,,Italy,Puerto Rico
2026,3,Quarters,Miami,2026-03-14,4,Venezuela,Japan,8,5,,,,Venezuela,Japan
2026,3,Semis,Miami,2026-03-15,5,United States,Dominican Rep.,2,1,,,,United States,Dominican Rep.
2026,3,Semis,Miami,2026-03-16,6,Venezuela,Italy,4,2,,,,Venezuela,Italy
